HGNC gene	Residual Variation Intolerance Score	Residual Variation Intolerance Score Percentile
HDAC4	-2.848385772	0.607454588
AHNAK	-2.834287974	0.613352206
COL4A1	-2.824541933	0.619249823
WDFY3	-2.817477736	0.62514744
CELSR1	-2.815757777	0.631045058
FBN1	-2.813971075	0.642840293
ZNF462	-2.813971075	0.642840293
KIAA0182	-2.812224078	0.64873791
SLC12A7	-2.793650711	0.654635527
MYH6	-2.784931854	0.660533145
TANC2	-2.783967663	0.666430762
DOCK9	-2.778633322	0.672328379
DIP2A	-2.776863601	0.678225997
KIAA0195	-2.738053399	0.684123614
MED13L	-2.736273894	0.690021231
MED16	-2.73449852	0.701816466
SIPA1L1	-2.73449852	0.701816466
PTCH1	-2.730960138	0.707714084
CACNA1E	-2.708891704	0.713611701
STAB2	-2.679454516	0.719509318
EPHB3	-2.677226852	0.731304553
LZTR1	-2.677226852	0.731304553
DGKQ	-2.675433159	0.73720217
ARID1A	-2.670076378	0.743099788
FRY	-2.659471462	0.748997405
KLHL17	-2.653369885	0.754895022
NFRKB	-2.651579643	0.76079264
MAPK8IP3	-2.649793416	0.766690257
CAMSAP1	-2.648011194	0.772587874
SPTB	-2.640400656	0.778485492
RERE	-2.629516077	0.784383109
PFKP	-2.627729218	0.790280727
LPHN1	-2.625946333	0.796178344
ARID1B	-2.622392448	0.802075961
RAPH1	-2.607452819	0.807973579
NCOR2	-2.599674564	0.819768813
TUBGCP6	-2.599674564	0.819768813
RPTOR	-2.583601763	0.831564048
ZNF609	-2.583601763	0.831564048
KDM4B	-2.565119811	0.837461665
CRB1	-2.563327215	0.843359283
TCF20	-2.552652857	0.8492569
BPTF	-2.550887261	0.855154518
COL6A3	-2.550505158	0.861052135
MCM3AP	-2.549125491	0.866949752
TSC2	-2.536899611	0.87284737
DOCK7	-2.535908408	0.884642604
MED12L	-2.535908408	0.884642604
ANKHD1-EIF4EBP3	-2.53413058	0.890540222
TULP4	-2.528819961	0.896437839
APC	-2.523543479	0.902335456
MLL3	-2.516369113	0.908233074
HEATR5B	-2.513844451	0.914130691
LRBA	-2.513092117	0.925925926
MYO7A	-2.513092117	0.925925926
PLXNB1	-2.508520205	0.931823543
PLXNA3	-2.494487417	0.937721161
LAMC1	-2.488226108	0.943618778
RTEL1	-2.481161548	0.949516395
GRM4	-2.478673049	0.96131163
ZNF618	-2.478673049	0.96131163
CHD3	-2.475079584	0.973106865
SCN3A	-2.475079584	0.973106865
HECW2	-2.471501108	0.979004482
SDK2	-2.470675891	0.9849021
DENND4B	-2.456612937	0.996697334
TRIP12	-2.456612937	0.996697334
SGSM3	-2.45481381	1.008492569
TNKS	-2.45481381	1.008492569
NIPBL	-2.44943873	1.014390186
YLPM1	-2.445873847	1.020287804
SCRIB	-2.440554124	1.026185421
TECTA	-2.430013277	1.032083038
DUOX1	-2.42025884	1.037980656
FRYL	-2.418488491	1.049775891
LMTK2	-2.418488491	1.049775891
CASZ1	-2.416721768	1.055673508
CTNND2	-2.412493531	1.067468743
GRIN2B	-2.412493531	1.067468743
SUPT6H	-2.410693389	1.07336636
ADAMTS9	-2.392891714	1.079263977
DNAH2	-2.390798793	1.085161595
ADCY5	-2.388633592	1.096956829
AGAP1	-2.388633592	1.096956829
ARFGEF2	-2.385043169	1.102854447
KAT6B	-2.383253371	1.108752064
CACNA1G	-2.374358198	1.114649682
MLL4	-2.372589873	1.120547299
DLG5	-2.369063868	1.126444916
ANKHD1	-2.357622074	1.138240151
MLLT4	-2.357622074	1.138240151
CIT	-2.354066177	1.144137768
DOCK5	-2.350524415	1.150035386
DGKD	-2.34451481	1.155933003
SORL1	-2.343483048	1.16183062
SNRNP200	-2.34092223	1.167728238
SLC4A11	-2.339131252	1.173625855
CHD8	-2.337343807	1.179523473
FN1	-2.323170444	1.18542109
ADCY4	-2.320657243	1.191318707
NISCH	-2.309939295	1.197216325
RALGAPA2	-2.30816515	1.203113942
SPEN	-2.307490096	1.209011559
CNTNAP1	-2.298598009	1.214909177
WDR7	-2.296802403	1.220806794
LRP1B	-2.292084886	1.226704411
SEC16A	-2.288876199	1.232602029
EEF2	-2.280141674	1.238499646
AP3D1	-2.276539041	1.244397264
SBNO2	-2.2729502	1.250294881
ASTN2	-2.271160931	1.256192498
ADAMTS17	-2.267592656	1.262090116
BRPF1	-2.25808393	1.267987733
INSRR	-2.250890405	1.279782968
MSH6	-2.250890405	1.279782968
CNTNAP2	-2.24910054	1.29747582
KIDINS220	-2.24910054	1.29747582
TECPR1	-2.24910054	1.29747582
ALK	-2.241974905	1.303373437
MYH14	-2.236665977	1.309271054
UBE3B	-2.232421897	1.315168672
DSP	-2.227884388	1.321066289
HECTD1	-2.227040428	1.332861524
KIAA0664	-2.227040428	1.332861524
KIAA1244	-2.2199121	1.338759141
MAP1B	-2.216367922	1.350554376
PTPRZ1	-2.216367922	1.350554376
CUL9	-2.207565276	1.356451993
ZNF423	-2.203192877	1.362349611
HIVEP2	-2.196075097	1.374144845
SLIT3	-2.196075097	1.374144845
NCOA1	-2.190107324	1.38594008
ZBED1	-2.190107324	1.38594008
SCAP	-2.188305787	1.391837698
SLIT2	-2.184712649	1.397735315
CHD9	-2.179347661	1.403632932
ZNF827	-2.168050122	1.40953055
ADCY3	-2.166248113	1.421325784
KDM2B	-2.166248113	1.421325784
NRXN2	-2.164449385	1.427223402
ZNF608	-2.162653931	1.433121019
EGFR	-2.160861741	1.439018636
USP24	-2.157287126	1.444916254
ARHGAP32	-2.151949495	1.450813871
ABCA7	-2.151227095	1.462609106
RELN	-2.151227095	1.462609106
BAIAP3	-2.150176731	1.468506723
NUP214	-2.148407177	1.474404341
PBRM1	-2.147798897	1.480301958
JAG1	-2.142391463	1.486199575
INSR	-2.140595475	1.492097193
NCOR1	-2.137013188	1.49799481
CAMTA1	-2.133443765	1.503892427
EPS15L1	-2.125742609	1.509790045
MBD5	-2.122133515	1.515687662
BCORL1	-2.120333794	1.52158528
RBBP6	-2.116743963	1.527482897
RASAL2	-2.103686554	1.533380514
CREBBP	-2.102511638	1.539278132
GRID1	-2.100076584	1.545175749
REV3L	-2.097226344	1.551073366
RUSC2	-2.09468547	1.556970984
ABCC8	-2.091107194	1.568766218
MYH2	-2.091107194	1.568766218
CACNA1C	-2.087541484	1.574663836
USP32	-2.078019896	1.580561453
CUX2	-2.076219205	1.598254305
MAGI2	-2.076219205	1.598254305
MYH10	-2.076219205	1.598254305
CDH4	-2.070835943	1.615947157
KCNT1	-2.070835943	1.615947157
RIMBP2	-2.070835943	1.615947157
BRF1	-2.059575132	1.621844775
CACNA1H	-2.059460781	1.627742392
LAMA3	-2.056005418	1.633640009
FGFR3	-2.054162281	1.639537627
NAV3	-2.045202892	1.645435244
FAM120A	-2.037519759	1.657230479
ZMIZ1	-2.037519759	1.657230479
SLC45A1	-2.035711952	1.669025714
ZNF574	-2.035711952	1.669025714
FBXO18	-2.033907235	1.680820948
MSH2	-2.033907235	1.680820948
SEZ6L	-2.032105599	1.686718566
HTT	-2.029268562	1.692616183
PTPRM	-2.02851154	1.704411418
SLIT1	-2.02851154	1.704411418
NCOA6	-2.017802488	1.710309035
NUP210	-2.012488705	1.716206653
ITSN1	-2.010049157	1.72210427
SBF2	-2.004661068	1.728001887
PRDM15	-2.001084103	1.733899505
TAS1R3	-1.999300124	1.739797122
MYH9	-1.993966113	1.745694739
NTRK3	-1.993409678	1.757489974
RNF40	-1.993409678	1.757489974
FBXO10	-1.991601082	1.763387591
SCN2A	-1.98979551	1.769285209
ACACB	-1.974635129	1.775182826
CHRNA4	-1.969545983	1.786978061
ERBB4	-1.969545983	1.786978061
ABCC5	-1.967739992	1.816466148
ABCC9	-1.967739992	1.816466148
AUTS2	-1.967739992	1.816466148
PLCG1	-1.967739992	1.816466148
SMARCA2	-1.967739992	1.816466148
PTPRO	-1.965936983	1.828261382
TIE1	-1.965936983	1.828261382
AFAP1	-1.964136947	1.840056617
BMP1	-1.964136947	1.840056617
ROBO1	-1.960545765	1.845954234
IFT172	-1.955181094	1.857749469
MADD	-1.955181094	1.857749469
CDK5RAP2	-1.951619288	1.869544704
PCNX	-1.951619288	1.869544704
C11orf30	-1.947491103	1.875442321
ERCC2	-1.945684699	1.887237556
KIAA0913	-1.945684699	1.887237556
ATP2B2	-1.943881244	1.893135173
DOCK8	-1.937487856	1.899032791
IGF2R	-1.928748556	1.904930408
ACTG1	-1.927246174	1.910828025
SLC6A19	-1.92362963	1.916725643
CSMD2	-1.92180778	1.92262326
POLR3A	-1.920024747	1.928520878
SLC12A4	-1.918226659	1.934418495
MAST1	-1.905192093	1.940316112
PRMT7	-1.903381992	1.94621373
SYNJ2	-1.902173	1.952111347
NUP155	-1.899770452	1.963906582
PITPNM2	-1.899770452	1.963906582
CNOT1	-1.897968997	1.969804199
NBEA	-1.889004548	1.981599434
PER1	-1.889004548	1.981599434
SCN5A	-1.881883902	1.987497051
SON	-1.880110746	1.993394669
DMXL2	-1.876572788	1.999292286
DOCK3	-1.875913477	2.005189903
CUX1	-1.868734056	2.011087521
FBN2	-1.867776262	2.016985138
ESYT1	-1.857465733	2.022882755
LDLR	-1.853858183	2.028780373
VPS13A	-1.852743422	2.03467799
CCDC108	-1.85098044	2.040575607
PHLDB1	-1.848467831	2.046473225
NFATC1	-1.846676608	2.052370842
CDH23	-1.837761842	2.05826846
ARHGEF1	-1.837219906	2.070063694
FRMPD4	-1.837219906	2.070063694
ELFN2	-1.835411529	2.081858929
HYOU1	-1.835411529	2.081858929
ZNF592	-1.833605934	2.087756546
SREBF2	-1.831803113	2.093654164
SACS	-1.83176571	2.099551781
SH3PXD2A	-1.830003058	2.117244633
WWC1	-1.830003058	2.117244633
ZFC3H1	-1.830003058	2.117244633
MYO1F	-1.828205761	2.123142251
SPTBN4	-1.824619408	2.129039868
LONP1	-1.822830336	2.140835103
SCN11A	-1.822830336	2.140835103
NOTCH2	-1.819260363	2.14673272
ABCB9	-1.815166288	2.164425572
CPSF3L	-1.815166288	2.164425572
KIFC3	-1.815166288	2.164425572
ARHGAP35	-1.813357534	2.170323189
CELSR2	-1.813160269	2.176220807
RIF1	-1.812152875	2.182118424
SIGLEC1	-1.81038272	2.188016042
DIP2B	-1.809748265	2.193913659
TNRC6B	-1.807947733	2.199811276
COL2A1	-1.804354835	2.205708894
NFASC	-1.802562453	2.211606511
ADAMTS2	-1.800772772	2.217504128
ASH1L	-1.798985783	2.223401746
VCL	-1.793112871	2.229299363
EXTL3	-1.791303746	2.23519698
PPP1R13B	-1.789497337	2.241094598
NRXN1	-1.787693635	2.246992215
COL1A1	-1.785892633	2.25878745
SLC9A3	-1.785892633	2.25878745
TJP1	-1.784094322	2.264685067
CACNA1A	-1.782298694	2.270582685
ADCY9	-1.780505741	2.282377919
PTPRU	-1.780505741	2.282377919
MST1R	-1.77692783	2.288275537
AP2A2	-1.771059651	2.300070771
MGRN1	-1.771059651	2.300070771
RAPGEF1	-1.767443354	2.317763623
SLC4A2	-1.767443354	2.317763623
ZNF521	-1.767443354	2.317763623
NUP160	-1.765639221	2.323661241
ARID2	-1.762038945	2.329558858
WDR81	-1.758449269	2.335456476
SCN8A	-1.749006627	2.341354093
ANKFY1	-1.747196778	2.359046945
NDST1	-1.747196778	2.359046945
TRPS1	-1.747196778	2.359046945
ARFGEF1	-1.745389579	2.37084218
CHD2	-1.745389579	2.37084218
ANKRD50	-1.74358502	2.394432649
BAI3	-1.74358502	2.394432649
PC	-1.74358502	2.394432649
THBS1	-1.74358502	2.394432649
CACHD1	-1.741783094	2.418023119
JAKMIP3	-1.741783094	2.418023119
JARID2	-1.741783094	2.418023119
NCAN	-1.741783094	2.418023119
LLGL1	-1.738187109	2.429818353
PTPRG	-1.738187109	2.429818353
ZFHX4	-1.737130259	2.435715971
TP73	-1.726953796	2.441613588
ATXN2L	-1.725143594	2.447511205
ACTN2	-1.723336008	2.465204058
BTAF1	-1.723336008	2.465204058
PTPRK	-1.723336008	2.465204058
KDM5B	-1.721531029	2.476999292
KIAA0232	-1.721531029	2.476999292
BRD1	-1.719728651	2.488794527
TSHZ3	-1.719728651	2.488794527
IGF1R	-1.71613166	2.494692144
ARHGEF11	-1.714337031	2.500589762
GTF3C1	-1.710755469	2.506487379
ABCC10	-1.705402241	2.512384996
NDST2	-1.704901154	2.518282614
DNMT3B	-1.703090605	2.535975466
NEMF	-1.703090605	2.535975466
SEC14L5	-1.703090605	2.535975466
ADCK3	-1.701282638	2.553668318
CD36	-1.701282638	2.553668318
VAV2	-1.701282638	2.553668318
LRP6	-1.699477247	2.565463553
SMCHD1	-1.699477247	2.565463553
ERN2	-1.697674421	2.583156405
KIAA1432	-1.697674421	2.583156405
UNC13A	-1.697674421	2.583156405
ODZ4	-1.696530647	2.589054022
UBN1	-1.695874154	2.59495164
KIAA0284	-1.690488621	2.600849257
C3	-1.688698506	2.618542109
ODZ1	-1.688698506	2.618542109
ZNF318	-1.688698506	2.618542109
MORC2	-1.684662147	2.630337344
USP5	-1.684662147	2.630337344
GLG1	-1.682848699	2.653927813
KCNMA1	-1.682848699	2.653927813
KLHL36	-1.682848699	2.653927813
MOV10	-1.682848699	2.653927813
KCNH4	-1.681037809	2.659825431
ATP2B3	-1.679229468	2.677518283
GRIK3	-1.679229468	2.677518283
TMEM132B	-1.679229468	2.677518283
NOS2	-1.675620402	2.689313517
PPFIA1	-1.675620402	2.689313517
RAPGEF6	-1.673819661	2.695211135
UNC13C	-1.666641783	2.701108752
SMARCC2	-1.660796428	2.707006369
ANAPC2	-1.658985203	2.724699222
PIK3CD	-1.658985203	2.724699222
RAPGEF2	-1.658985203	2.724699222
JUP	-1.657176494	2.736494456
RASA3	-1.657176494	2.736494456
ATP8B2	-1.655370293	2.754187308
GIGYF1	-1.655370293	2.754187308
RIPK4	-1.655370293	2.754187308
CLSTN3	-1.653566591	2.760084926
LRPPRC	-1.651765382	2.765982543
TRAPPC9	-1.648170405	2.77188016
ITPR2	-1.641009998	2.777777778
KLHL26	-1.640558385	2.783675395
ATR	-1.639226005	2.789573013
ATP9A	-1.638744339	2.801368247
HIPK1	-1.638744339	2.801368247
CHD4	-1.636932785	2.824958717
CLCN7	-1.636932785	2.824958717
SLITRK5	-1.636932785	2.824958717
TRPV2	-1.636932785	2.824958717
GRIK1	-1.635123713	2.836753951
SRGAP3	-1.635123713	2.836753951
INPPL1	-1.633317116	2.842651569
MYT1	-1.631512986	2.848549186
ABL1	-1.629711314	2.854446803
GCC2	-1.627912093	2.860344421
BCL9	-1.626115313	2.878037273
BOC	-1.626115313	2.878037273
UNC5B	-1.626115313	2.878037273
COL12A1	-1.625040811	2.88393489
SLC12A3	-1.624320968	2.889832508
MYO18A	-1.618952458	2.895730125
AP3B2	-1.618506764	2.925218212
JAKMIP1	-1.618506764	2.925218212
SAFB	-1.618506764	2.925218212
SLC9A1	-1.618506764	2.925218212
USP9X	-1.618506764	2.925218212
GRM7	-1.616692429	2.937013447
SAP130	-1.616692429	2.937013447
BAZ1B	-1.614880551	2.948808681
TTC17	-1.614880551	2.948808681
SIPA1L3	-1.61360557	2.954706299
ACACA	-1.613071123	2.960603916
LRRK1	-1.611828042	2.972399151
MYO10	-1.611828042	2.972399151
CKAP5	-1.611264137	2.984194385
NALCN	-1.611264137	2.984194385
DLGAP2	-1.609459583	3.001887238
RET	-1.609459583	3.001887238
TLR9	-1.609459583	3.001887238
ATP11A	-1.605857744	3.007784855
NAV1	-1.604060442	3.013682472
ZNF638	-1.600473032	3.01958009
ATP2A2	-1.596455314	3.037272942
DLG2	-1.596455314	3.037272942
EXOC3	-1.596455314	3.037272942
DLGAP1	-1.594640695	3.054965794
ROR1	-1.594640695	3.054965794
SRRT	-1.594640695	3.054965794
ARHGAP17	-1.5928285	3.066761029
ATRNL1	-1.5928285	3.066761029
NFX1	-1.591018721	3.084453881
PLA2G6	-1.591018721	3.084453881
SULF2	-1.591018721	3.084453881
SLC3A1	-1.589211351	3.096249115
ZCCHC11	-1.589211351	3.096249115
LOXL2	-1.587406381	3.113941967
RB1CC1	-1.587406381	3.113941967
USP19	-1.587406381	3.113941967
TRAPPC10	-1.585603802	3.119839585
PHRF1	-1.584446832	3.125737202
EHMT1	-1.582005788	3.13163482
MCF2L	-1.580210337	3.137532437
CDYL	-1.574404032	3.143430054
LRRC8A	-1.572589134	3.161122906
TLE1	-1.572589134	3.161122906
TTC7B	-1.572589134	3.161122906
CLCN6	-1.570776628	3.172918141
FRMD4A	-1.570776628	3.172918141
NFATC2	-1.568966504	3.178815758
CCDC88A	-1.567158756	3.190610993
KLHL25	-1.567158756	3.190610993
MAN2A1	-1.565353375	3.202406228
ZNF536	-1.565353375	3.202406228
ANKRD27	-1.563550352	3.208303845
KIAA1109	-1.562384295	3.214201463
NAV2	-1.555318186	3.22009908
MYH3	-1.554570334	3.225996697
LAMB4	-1.552781294	3.237791932
NSD1	-1.552781294	3.237791932
DAAM1	-1.550537744	3.249587167
PCDHGC3	-1.550537744	3.249587167
UTRN	-1.550042262	3.255484784
MKL2	-1.548724932	3.273177636
MTSS1L	-1.548724932	3.273177636
NRXN3	-1.548724932	3.273177636
FNDC3A	-1.54691447	3.284972871
MED1	-1.54691447	3.284972871
LTBP2	-1.545648077	3.290870488
MAP3K9	-1.54510635	3.30856334
MAST3	-1.54510635	3.30856334
SLC4A5	-1.54510635	3.30856334
CDC42BPA	-1.543300564	3.320358575
RIMS1	-1.543300564	3.320358575
DNMT1	-1.541497103	3.326256192
RANBP2	-1.538551197	3.33215381
TNRC6C	-1.537897124	3.338051427
CILP	-1.534306349	3.343949045
ZNF236	-1.532514394	3.349846662
ATP1A3	-1.530301957	3.367539514
CMIP	-1.530301957	3.367539514
TARSL2	-1.530301957	3.367539514
IDE	-1.528486521	3.385232366
SLC6A3	-1.528486521	3.385232366
UPF1	-1.528486521	3.385232366
CUL7	-1.527152158	3.391129983
AP1B1	-1.52667341	3.408822836
PLEKHM1	-1.52667341	3.408822836
POGZ	-1.52667341	3.408822836
DGKG	-1.524862616	3.42061807
TFIP11	-1.524862616	3.42061807
POR	-1.52305413	3.426515688
ANO1	-1.521247944	3.44420854
DICER1	-1.521247944	3.44420854
FLT1	-1.521247944	3.44420854
KIAA0430	-1.519444051	3.450106157
BAI2	-1.517642441	3.467799009
DAB2IP	-1.517642441	3.467799009
PTCH2	-1.517642441	3.467799009
PXDN	-1.512251235	3.479594244
TET3	-1.512251235	3.479594244
KDM5C	-1.50825116	3.503184713
RABGAP1	-1.50825116	3.503184713
TRAF7	-1.50825116	3.503184713
TUBGCP3	-1.50825116	3.503184713
ABLIM2	-1.506435464	3.544468035
BICD1	-1.506435464	3.544468035
BRSK2	-1.506435464	3.544468035
DHX30	-1.506435464	3.544468035
MCTP1	-1.506435464	3.544468035
MYT1L	-1.506435464	3.544468035
PTK2	-1.506435464	3.544468035
DPYSL4	-1.50462206	3.568058504
FGFR2	-1.50462206	3.568058504
GLT25D1	-1.50462206	3.568058504
SEPT9	-1.50462206	3.568058504
VILL	-1.502810938	3.573956122
EPHB4	-1.501002093	3.597546591
HGS	-1.501002093	3.597546591
PCDH7	-1.501002093	3.597546591
ROBO2	-1.501002093	3.597546591
ADNP2	-1.497391194	3.603444209
CPZ	-1.49019634	3.615239443
PAPPA2	-1.49019634	3.615239443
COL6A1	-1.486612255	3.621137061
ARHGAP44	-1.48620052	3.632932295
NDUFV1	-1.48620052	3.632932295
PDS5B	-1.484384569	3.638829913
PLXNA2	-1.483036981	3.64472753
POLR3B	-1.482570877	3.662420382
RPH3A	-1.482570877	3.662420382
THBS3	-1.482570877	3.662420382
ARHGAP29	-1.480759435	3.686010852
BRD4	-1.480759435	3.686010852
ITGAV	-1.480759435	3.686010852
SYMPK	-1.480759435	3.686010852
CNTN4	-1.478950235	3.703703704
EEF2K	-1.478950235	3.703703704
THOP1	-1.478950235	3.703703704
ABCA3	-1.477690451	3.709601321
PIK3C2A	-1.475338529	3.715498938
BCL9L	-1.473536006	3.727294173
SALL4	-1.473536006	3.727294173
DNAH3	-1.472892299	3.733191791
ATP2A3	-1.471735692	3.739089408
CDC42BPG	-1.464556369	3.75678226
LAMB2	-1.464556369	3.75678226
WDR96	-1.464556369	3.75678226
AP2A1	-1.464150033	3.780372729
COL8A1	-1.464150033	3.780372729
MED15	-1.464150033	3.780372729
NFE2L1	-1.464150033	3.780372729
AMPD2	-1.462333834	3.786270347
KCNH2	-1.460519861	3.809860816
KCNH5	-1.460519861	3.809860816
PRPF40B	-1.460519861	3.809860816
SETDB1	-1.460519861	3.809860816
MBD6	-1.458708104	3.821656051
PCDHGC5	-1.458708104	3.821656051
ARHGAP33	-1.456898556	3.862939372
DENND1A	-1.456898556	3.862939372
EPHB2	-1.456898556	3.862939372
HCFC1	-1.456898556	3.862939372
IGDCC3	-1.456898556	3.862939372
MINK1	-1.456898556	3.862939372
VPS18	-1.456898556	3.862939372
AFF3	-1.455091209	3.886529842
ALS2	-1.455091209	3.886529842
GRIN2A	-1.455091209	3.886529842
PYGB	-1.455091209	3.886529842
TBCD	-1.453286053	3.892427459
CTTNBP2	-1.449682288	3.904222694
MLL5	-1.449682288	3.904222694
KIF13B	-1.447883661	3.927813163
KIF1B	-1.447883661	3.927813163
MAN2A2	-1.447883661	3.927813163
SCUBE1	-1.447883661	3.927813163
ARAP1	-1.446087194	3.933710781
FLNB	-1.444990676	3.939608398
MAP4K4	-1.442099697	3.951403633
ZNF496	-1.442099697	3.951403633
APBA1	-1.440283256	3.963198868
USP33	-1.440283256	3.963198868
TLE6	-1.438469007	3.974994102
TNIK	-1.438469007	3.974994102
ZMYND8	-1.436656941	3.98089172
EDC4	-1.434847051	3.998584572
EPHB6	-1.434847051	3.998584572
KEL	-1.434847051	3.998584572
EML5	-1.433039328	4.010379807
WDR6	-1.433039328	4.010379807
AXIN1	-1.431233765	4.016277424
SCN1A	-1.429430352	4.028072659
TRPM8	-1.429430352	4.028072659
MCC	-1.427629082	4.039867893
TRAK1	-1.427629082	4.039867893
FAM135B	-1.425829947	4.051663128
MED13	-1.425829947	4.051663128
BAZ2B	-1.424032938	4.063458363
PRDM16	-1.424032938	4.063458363
ANO8	-1.42004951	4.104741684
EIF2C2	-1.42004951	4.104741684
LINGO1	-1.42004951	4.104741684
MIB1	-1.42004951	4.104741684
PIK3CB	-1.42004951	4.104741684
RBM26	-1.42004951	4.104741684
SUPT5H	-1.42004951	4.104741684
PHKG1	-1.418232832	4.110639302
PCNXL3	-1.41686601	4.116536919
ADNP	-1.414605945	4.134229771
MED24	-1.414605945	4.134229771
NUP93	-1.414605945	4.134229771
RASGRF1	-1.410987626	4.140127389
MYO5A	-1.40918166	4.146025006
DIDO1	-1.407954242	4.151922623
PAPPA	-1.40197889	4.157820241
PIKFYVE	-1.400183431	4.163717858
GIT1	-1.397999468	4.193205945
NLGN1	-1.397999468	4.193205945
PFKFB3	-1.397999468	4.193205945
SLC13A5	-1.397999468	4.193205945
UCKL1	-1.397999468	4.193205945
BAIAP2	-1.39618256	4.222694032
EPHA4	-1.39618256	4.222694032
GTF3C2	-1.39618256	4.222694032
HNRNPM	-1.39618256	4.222694032
TMEM108	-1.39618256	4.222694032
ADCY1	-1.394367777	4.246284501
BAG6	-1.394367777	4.246284501
BICD2	-1.394367777	4.246284501
LIG3	-1.394367777	4.246284501
ATP2A1	-1.392555112	4.269874971
KIRREL3	-1.392555112	4.269874971
PTPRN	-1.392555112	4.269874971
SIN3A	-1.392555112	4.269874971
APBA2	-1.390744555	4.305260675
ARHGAP39	-1.390744555	4.305260675
GTF2IRD1	-1.390744555	4.305260675
RAD54L2	-1.390744555	4.305260675
SMPD4	-1.390744555	4.305260675
UBE4B	-1.390744555	4.305260675
PITPNM3	-1.3889361	4.311158292
BAZ2A	-1.387129737	4.322953527
ZNF532	-1.387129737	4.322953527
CARD11	-1.385325458	4.334748762
PLEKHA7	-1.385325458	4.334748762
SVIL	-1.384116825	4.340646379
ATP13A4	-1.383523256	4.358339231
MAGI1	-1.383523256	4.358339231
PIDD	-1.383523256	4.358339231
SNED1	-1.379925048	4.364236848
EHD1	-1.375949569	4.393724935
